ID,Description,Entry_ID,Description_Language_ID,CHD_Candidate_ID,CHD_Authority_Status,CHD_Human_Verified
ORT1888-art-000088-s1,Apuxeurizt Manúxeiirizt.,ORT1888-art-000088,crn,ORT1888-cand-000088,machine_derived,false
ORT1888-art-000089-s1,Ahv/¿otoa. Nahiiautoa.,ORT1888-art-000089,crn,ORT1888-cand-000089,machine_derived,false
ORT1888-art-000090-s1,Yaxuhpua. Ni. Yateu«¿\ Ni. Ye. Ni.,ORT1888-art-000090,crn,ORT1888-cand-000090,machine_derived,false
ORT1888-art-000091-s1,Ntizizchizt. Nete.,ORT1888-art-000091,crn,ORT1888-cand-000091,machine_derived,false
ORT1888-art-000092-s1,Man xé.,ORT1888-art-000092,crn,ORT1888-cand-000092,machine_derived,false
ORT1888-art-000093-s1,Huaohcácari.,ORT1888-art-000093,crn,ORT1888-cand-000093,machine_derived,false
ORT1888-art-000094-s1,Tachetzina. Neti.,ORT1888-art-000094,crn,ORT1888-cand-000094,machine_derived,false
ORT1888-art-000095-s1,Huatáhua Nata-,ORT1888-art-000095,crn,ORT1888-cand-000095,machine_derived,false
ORT1888-art-000096-s1,Anta neáxcaca. Nete.,ORT1888-art-000096,crn,ORT1888-cand-000096,machine_derived,false
ORT1888-art-000097-s1,^Hebe. Neti.,ORT1888-art-000097,crn,ORT1888-cand-000097,machine_derived,false
ORT1888-art-000098-s1,Vtamuarem/ea Nete.,ORT1888-art-000098,crn,ORT1888-cand-000098,machine_derived,false
ORT1888-art-000099-s1,Huateahuzemi. Nateahuizemi.,ORT1888-art-000099,crn,ORT1888-cand-000099,machine_derived,false
ORT1888-art-000100-s1,Huatwhui. Natetfhui.,ORT1888-art-000100,crn,ORT1888-cand-000100,machine_derived,false
ORT1888-art-000101-s1,ATete. Neteu.,ORT1888-art-000101,crn,ORT1888-cand-000101,machine_derived,false
ORT1888-art-000102-s1,>Amutzi.,ORT1888-art-000102,crn,ORT1888-cand-000102,machine_derived,false
ORT1888-art-000103-s1,Bé Net i.,ORT1888-art-000103,crn,ORT1888-cand-000103,machine_derived,false
ORT1888-art-000104-s1,Cureva Neti.,ORT1888-art-000104,crn,ORT1888-cand-000104,machine_derived,false
ORT1888-art-000105-s1,Beyat.,ORT1888-art-000105,crn,ORT1888-cand-000105,machine_derived,false
ORT1888-art-000106-s1,NNaviti.,ORT1888-art-000106,crn,ORT1888-cand-000106,machine_derived,false
ORT1888-art-000107-s1,"NHiiíwiutiéhre. Neii, tearauéhre.",ORT1888-art-000107,crn,ORT1888-cand-000107,machine_derived,false
ORT1888-art-000108-s1,NTzúchá Ne,ORT1888-art-000108,crn,ORT1888-cand-000108,machine_derived,false
ORT1888-art-000109-s1,Taba Neti.,ORT1888-art-000109,crn,ORT1888-cand-000109,machine_derived,false
ORT1888-art-000110-s1,M«>me. Euk.,ORT1888-art-000110,crn,ORT1888-cand-000110,machine_derived,false
ORT1888-art-000111-s1,xT¡axahtzi-ri,ORT1888-art-000111,crn,ORT1888-cand-000111,machine_derived,false
ORT1888-art-000112-s1,An caca.,ORT1888-art-000112,crn,ORT1888-cand-000112,machine_derived,false
ORT1888-art-000113-s1,Teaunamua. Netemamua.,ORT1888-art-000113,crn,ORT1888-cand-000113,machine_derived,false
ORT1888-art-000114-s1,M.ueiuevé.,ORT1888-art-000114,crn,ORT1888-cand-000114,machine_derived,false
ORT1888-art-000115-s1,Tazné. Neti.,ORT1888-art-000115,crn,ORT1888-cand-000115,machine_derived,false
ORT1888-art-000116-s1,Pitzire. Neti.,ORT1888-art-000116,crn,ORT1888-cand-000116,machine_derived,false
ORT1888-art-000117-s1,/?>/hripent¡ tahua. £#uhrimentitáhua. £fahriti-,ORT1888-art-000117,crn,ORT1888-cand-000117,machine_derived,false
ORT1888-art-000118-s1,vVnea. Neunca.,ORT1888-art-000118,crn,ORT1888-cand-000118,machine_derived,false
ORT1888-art-000119-s1,Teahnane. Neti.,ORT1888-art-000119,crn,ORT1888-cand-000119,machine_derived,false
ORT1888-art-000120-s1,Huáve. pl. tzi.,ORT1888-art-000120,crn,ORT1888-cand-000120,machine_derived,false
ORT1888-art-000121-s1,Amuahrere. Net.,ORT1888-art-000121,crn,ORT1888-cand-000121,machine_derived,false
ORT1888-art-000122-s1,Tiéhre. pl. Metühre.,ORT1888-art-000122,crn,ORT1888-cand-000122,machine_derived,false
ORT1888-art-000123-s1,Atzáhuate. Ne.,ORT1888-art-000123,crn,ORT1888-cand-000123,machine_derived,false
ORT1888-art-000124-s1,At zahuate. Nete.,ORT1888-art-000124,crn,ORT1888-cand-000124,machine_derived,false
ORT1888-art-000125-s1,Ihua. Neti.,ORT1888-art-000125,crn,ORT1888-cand-000125,machine_derived,false
ORT1888-art-000126-s1,Ihuaihua.,ORT1888-art-000126,crn,ORT1888-cand-000126,machine_derived,false
ORT1888-art-000127-s1,Xamit.,ORT1888-art-000127,crn,ORT1888-cand-000127,machine_derived,false
ORT1888-art-000128-s1,Anáhcona. Ne.,ORT1888-art-000128,crn,ORT1888-cand-000128,machine_derived,false
ORT1888-art-000129-s1,Auné?,ORT1888-art-000129,crn,ORT1888-cand-000129,machine_derived,false
ORT1888-art-000130-s1,Aupéhye.,ORT1888-art-000130,crn,ORT1888-cand-000130,machine_derived,false
ORT1888-art-000131-s1,Atzahuate. Ne.,ORT1888-art-000131,crn,ORT1888-cand-000131,machine_derived,false
ORT1888-art-000132-s1,Cozté. Neti.,ORT1888-art-000132,crn,ORT1888-cand-000132,machine_derived,false
ORT1888-art-000133-s1,"Taatzihmoaca, Ne.",ORT1888-art-000133,crn,ORT1888-cand-000133,machine_derived,false
ORT1888-art-000134-s1,Acáze. Ne.,ORT1888-art-000134,crn,ORT1888-cand-000134,machine_derived,false
ORT1888-art-000135-s1,Veá-se aderezar,ORT1888-art-000135,crn,ORT1888-cand-000135,machine_derived,false
ORT1888-art-000136-s1,Hebe Nete.,ORT1888-art-000136,crn,ORT1888-cand-000136,machine_derived,false
ORT1888-art-000137-s1,Maco.,ORT1888-art-000137,crn,ORT1888-cand-000137,machine_derived,false
ORT1888-art-000138-s1,"Tatachiácá, Neteu.",ORT1888-art-000138,crn,ORT1888-cand-000138,machine_derived,false
ORT1888-art-000139-s1,Avitzike.,ORT1888-art-000139,crn,ORT1888-cand-000139,machine_derived,false
ORT1888-art-000140-s1,Iapúc,ORT1888-art-000140,crn,ORT1888-cand-000140,machine_derived,false
ORT1888-art-000141-s1,Euhv\eue. pl. Enhiiméne.,ORT1888-art-000141,crn,ORT1888-cand-000141,machine_derived,false
ORT1888-art-000142-s1,Xana ve Neti.,ORT1888-art-000142,crn,ORT1888-cand-000142,machine_derived,false
ORT1888-art-000143-s1,Muei/.ipe. Neti.,ORT1888-art-000143,crn,ORT1888-cand-000143,machine_derived,false
ORT1888-art-000144-s1,Cayezim Neti.,ORT1888-art-000144,crn,ORT1888-cand-000144,machine_derived,false
ORT1888-art-000145-s1,Vitazeupeiie. pl. Vitazeuméne.,ORT1888-art-000145,crn,ORT1888-cand-000145,machine_derived,false
ORT1888-art-000146-s1,Cache. Neti. Pitné. Neti.,ORT1888-art-000146,crn,ORT1888-cand-000146,machine_derived,false
ORT1888-art-000147-s1,^Tipitnihuame pl. tzi.,ORT1888-art-000147,crn,ORT1888-cand-000147,machine_derived,false
ORT1888-art-000148-s1,Apuaíte. Neti.,ORT1888-art-000148,crn,ORT1888-cand-000148,machine_derived,false
ORT1888-art-000149-s1,Apurarse. Nemputeamoaté. Neuuteamoaté.,ORT1888-art-000149,crn,ORT1888-cand-000149,machine_derived,false
ORT1888-art-000150-s1,Cuaxe/.tn. Neteu.,ORT1888-art-000150,crn,ORT1888-cand-000150,machine_derived,false
ORT1888-art-000151-s1,"Tacuaxeztn, Neteu. Tacua-",ORT1888-art-000151,crn,ORT1888-cand-000151,machine_derived,false
ORT1888-art-000152-s1,Teúcazt.,ORT1888-art-000152,crn,ORT1888-cand-000152,machine_derived,false
ORT1888-art-000153-s1,Vcurrebi pihua. Nete.,ORT1888-art-000153,crn,ORT1888-cand-000153,machine_derived,false
ORT1888-art-000154-s1,Tebea. Kéte. Neti.,ORT1888-art-000154,crn,ORT1888-cand-000154,machine_derived,false
ORT1888-art-000155-s1,Teben. Kéte.,ORT1888-art-000155,crn,ORT1888-cand-000155,machine_derived,false
ORT1888-art-000156-s1,Titebea. Kéte.,ORT1888-art-000156,crn,ORT1888-cand-000156,machine_derived,false
ORT1888-art-000157-s1,Abaútona. Abántona.,ORT1888-art-000157,crn,ORT1888-cand-000157,machine_derived,false
ORT1888-art-000158-s1,Abaútotze. Abautotze.,ORT1888-art-000158,crn,ORT1888-cand-000158,machine_derived,false
ORT1888-art-000159-s1,Via. Neti. Tebi. Neteu.,ORT1888-art-000159,crn,ORT1888-cand-000159,machine_derived,false
ORT1888-art-000160-s1,"^ Zíwhripoauhii. /""¿/hrinaühre.",ORT1888-art-000160,crn,ORT1888-cand-000160,machine_derived,false
